Scenario,rate,year,variable,sector,subsector,labor,qualifier,value,solvestat
"S0",0.000000000,"2012","output","Elec","","","output",4850.169627857,1.000000000
"S0",0.000000000,"2012","employment","Elec","","Low_Urban_Male","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","Low_Urban_Male","wage",0.088363916,1.000000000
"S0",0.000000000,"2012","employment","Elec","","High_Urban_Male","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","High_Urban_Male","wage",0.124661602,1.000000000
"S0",0.000000000,"2012","employment","Elec","","Low_Rural_Male","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","Low_Rural_Male","wage",0.066601202,1.000000000
"S0",0.000000000,"2012","employment","Elec","","High_Rural_Male","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","High_Rural_Male","wage",0.087896431,1.000000000
"S0",0.000000000,"2012","employment","Elec","","Low_Urban_Female","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","Low_Urban_Female","wage",0.067461753,1.000000000
"S0",0.000000000,"2012","employment","Elec","","High_Urban_Female","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","High_Urban_Female","wage",0.095798279,1.000000000
"S0",0.000000000,"2012","employment","Elec","","Low_Rural_Female","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","Low_Rural_Female","wage",0.049474575,1.000000000
"S0",0.000000000,"2012","employment","Elec","","High_Rural_Female","employment",0.000000000,1.000000000
"S0",0.000000000,"2012","wage","Elec","","High_Rural_Female","wage",0.072446615,1.000000000
"S0",0.000000000,"2012","output","Coal","","","output",2748.764518965,1.000000000
"S0",0.000000000,"2012","employment","Coal","","Low_Urban_Male","employment",2367.866432169,1.000000000
"S0",0.000000000,"2012","wage","Coal","","Low_Urban_Male","wage",0.131631611,1.000000000
"S0",0.000000000,"2012","employment","Coal","","High_Urban_Male","employment",349.103438217,1.000000000
"S0",0.000000000,"2012","wage","Coal","","High_Urban_Male","wage",0.194804950,1.000000000
"S0",0.000000000,"2012","employment","Coal","","Low_Rural_Male","employment",1612.066668709,1.000000000
"S0",0.000000000,"2012","wage","Coal","","Low_Rural_Male","wage",0.100227695,1.000000000
"S0",0.000000000,"2012","employment","Coal","","High_Rural_Male","employment",59.281569456,1.000000000
"S0",0.000000000,"2012","wage","Coal","","High_Rural_Male","wage",0.141669162,1.000000000
"S0",0.000000000,"2012","employment","Coal","","Low_Urban_Female","employment",459.595458185,1.000000000
"S0",0.000000000,"2012","wage","Coal","","Low_Urban_Female","wage",0.100296324,1.000000000
"S0",0.000000000,"2012","employment","Coal","","High_Urban_Female","employment",125.103064228,1.000000000
"S0",0.000000000,"2012","wage","Coal","","High_Urban_Female","wage",0.152137564,1.000000000
"S0",0.000000000,"2012","employment","Coal","","Low_Rural_Female","employment",164.936624937,1.000000000
"S0",0.000000000,"2012","wage","Coal","","Low_Rural_Female","wage",0.078101145,1.000000000
"S0",0.000000000,"2012","employment","Coal","","High_Rural_Female","employment",11.971052413,1.000000000
"S0",0.000000000,"2012","wage","Coal","","High_Rural_Female","wage",0.119228977,1.000000000
"S0",0.000000000,"2012","output","Oilgas","","","output",1224.619130676,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","Low_Urban_Male","employment",437.283135359,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","Low_Urban_Male","wage",0.128810317,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","High_Urban_Male","employment",263.715466057,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","High_Urban_Male","wage",0.183021254,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","Low_Rural_Male","employment",52.445066502,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","Low_Rural_Male","wage",0.095046158,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","High_Rural_Male","employment",9.800582169,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","High_Rural_Male","wage",0.126257936,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","Low_Urban_Female","employment",194.575057944,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","Low_Urban_Female","wage",0.100130080,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","High_Urban_Female","employment",137.713917207,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","High_Urban_Female","wage",0.140571971,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","Low_Rural_Female","employment",16.742262811,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","Low_Rural_Female","wage",0.070183906,1.000000000
"S0",0.000000000,"2012","employment","Oilgas","","High_Rural_Female","employment",3.595140390,1.000000000
"S0",0.000000000,"2012","wage","Oilgas","","High_Rural_Female","wage",0.102709360,1.000000000
"S0",0.000000000,"2012","output","Roil","","","output",3489.168095573,1.000000000
"S0",0.000000000,"2012","employment","Roil","","Low_Urban_Male","employment",216.384660016,1.000000000
"S0",0.000000000,"2012","wage","Roil","","Low_Urban_Male","wage",0.138908992,1.000000000
"S0",0.000000000,"2012","employment","Roil","","High_Urban_Male","employment",140.323793956,1.000000000
"S0",0.000000000,"2012","wage","Roil","","High_Urban_Male","wage",0.198020366,1.000000000
"S0",0.000000000,"2012","employment","Roil","","Low_Rural_Male","employment",28.187429993,1.000000000
"S0",0.000000000,"2012","wage","Roil","","Low_Rural_Male","wage",0.103706032,1.000000000
"S0",0.000000000,"2012","employment","Roil","","High_Rural_Male","employment",6.358426379,1.000000000
"S0",0.000000000,"2012","wage","Roil","","High_Rural_Male","wage",0.137186684,1.000000000
"S0",0.000000000,"2012","employment","Roil","","Low_Urban_Female","employment",96.437177244,1.000000000
"S0",0.000000000,"2012","wage","Roil","","Low_Urban_Female","wage",0.105728173,1.000000000
"S0",0.000000000,"2012","employment","Roil","","High_Urban_Female","employment",70.723448986,1.000000000
"S0",0.000000000,"2012","wage","Roil","","High_Urban_Female","wage",0.152343032,1.000000000
"S0",0.000000000,"2012","employment","Roil","","Low_Rural_Female","employment",9.217327858,1.000000000
